Iteracion;nBoids;Boid;Location X;Location Y;Velocity X; Velocity Y;Acceleration X; Acceleration Y
89;250;58;660.24506;124.47971;1.9274541;-0.40319547;-0.0;-0.0
90;250;58;662.164;124.06209;1.9189548;-0.41762453;-0.0;-0.0
91;250;50;656.126;108.66653;1.6903348;-0.821458;-0.0;-0.0
91;250;58;664.07587;123.630974;1.9118577;-0.43111706;-0.0;-0.0
92;250;50;657.8037;107.84222;1.6777604;-0.8243132;-0.0;-0.0
92;250;58;665.9814;123.18716;1.9055463;-0.44381726;-0.0;-0.0
92;250;214;664.02106;140.13974;1.9360249;-0.3653008;-0.0;0.0
93;250;50;659.4706;107.01485;1.6668504;-0.82736677;-0.0;-0.0
93;250;58;667.8684;122.73147;1.887044;-0.4556881;-0.0;-0.0
93;250;214;665.98474;139.76033;1.9636828;-0.37940788;0.0;-0.0
94;250;50;660.8342;106.280426;1.3636354;-0.7344241;-0.0;0.0
94;250;58;669.4495;122.33521;1.5810949;-0.39625522;-0.0;0.0
94;250;214;667.92834;139.43565;1.9436293;-0.32467303;-0.0;0.0
95;250;50;662.2157;105.53749;1.3814514;-0.7429384;0.0;-0.0
95;250;58;671.0573;121.91345;1.6077832;-0.4217603;0.0;-0.0
95;250;214;669.8849;139.0512;1.9565319;-0.38445362;0.0;-0.0
96;250;40;670.57935;158.17996;1.7736671;0.2421303;-0.0;0.0
96;250;50;663.6126;104.785934;1.3969113;-0.7515558;0.0;-0.0
96;250;58;672.68915;121.46707;1.6318412;-0.4463803;0.0;-0.0
96;250;214;671.5468;138.79878;1.6619409;-0.25240973;-0.0;0.0
97;250;40;672.34906;158.42686;1.7697444;0.24689728;-0.0;0.0
97;250;50;665.0227;104.02574;1.4100686;-0.7601929;0.0;-0.0
97;250;58;674.3428;120.99755;1.6536213;-0.4695209;0.0;-0.0
97;250;214;673.24927;138.5222;1.7024834;-0.27657822;0.0;-0.0
98;250;3;663.3811;137.22588;1.9445047;-0.31403688;-0.0;0.0
98;250;40;674.1151;158.6784;1.7660282;0.25154084;-0.0;0.0
98;250;50;666.4437;103.25698;1.4210258;-0.7687593;0.0;-0.0
98;250;58;676.0155;120.50639;1.6727159;-0.49115676;0.0;-0.0
98;250;178;660.628;127.48458;1.8843924;-0.5435746;-0.0;-0.0
98;250;214;674.993;138.22356;1.7436925;-0.29864565;0.0;-0.0
98;250;219;657.4212;117.10835;1.9136163;-0.45973366;0.0;-0.0
99;250;3;665.35223;136.88733;1.9711374;-0.33855268;0.0;-0.0
99;250;40;675.8701;158.93657;1.754984;0.25815865;-0.0;0.0
99;250;50;667.8736;102.4798;1.4298632;-0.77718335;0.0;-0.0
99;250;58;677.7042;119.99508;1.6887238;-0.5113145;0.0;-0.0
99;250;178;662.54047;126.9829;1.9124703;-0.5016756;0.0;0.0
99;250;214;676.7805;137.9228;1.7875284;-0.30075273;0.0;-0.0
99;250;219;659.3385;116.64586;1.9173162;-0.46249357;0.0;-0.0
100;250;0;660.23444;130.43318;1.9666601;-0.30682445;0.0;0.0
100;250;3;667.283;136.49243;1.9307837;-0.39489093;-0.0;-0.0
100;250;40;677.6061;159.20209;1.735945;0.2655126;-0.0;0.0
100;250;50;669.3211;101.697655;1.4475081;-0.7821433;0.0;-0.0
100;250;58;679.40564;119.46508;1.7014155;-0.52999955;0.0;-0.0
100;250;148;652.61957;94.0711;1.2979904;-0.89213365;-0.0;-0.0
100;250;178;664.42957;126.472626;1.8891063;-0.51027536;-0.0;-0.0
100;250;187;667.19226;148.21129;1.8698175;0.078239575;-0.0;0.0
100;250;214;678.60187;137.64247;1.8213738;-0.2803345;0.0;0.0
100;250;219;661.2571;116.180565;1.9185957;-0.46529657;0.0;-0.0
101;250;0;662.1906;130.14262;1.9561727;-0.2905508;-0.0;0.0
101;250;3;669.22845;136.16003;1.9454323;-0.33240095;0.0;0.0
101;250;40;679.3247;159.475;1.7186406;0.27292;-0.0;0.0
101;250;50;670.7832;100.91005;1.4620694;-0.7876065;0.0;-0.0
101;250;58;681.1165;118.91776;1.7109025;-0.5473194;0.0;-0.0
101;250;148;653.9072;93.1787;1.2876816;-0.89239746;-0.0;-0.0
101;250;178;666.30493;125.9523;1.8753568;-0.52032155;-0.0;-0.0
101;250;187;669.0606;148.29396;1.8683527;0.08267094;-0.0;0.0
101;250;197;656.338;109.603134;1.6180738;-0.8060969;-0.0;-0.0
101;250;199;656.0361;113.41379;1.8098016;-0.6967779;0.0;0.0
101;250;214;680.4548;137.37798;1.8529183;-0.26448858;0.0;0.0
101;250;219;663.1771;115.713036;1.9200389;-0.4675312;0.0;-0.0
101;250;240;663.90283;140.83731;1.919257;-0.002567179;0.0;0.0
102;250;0;664.13983;129.86908;1.9492384;-0.27353862;-0.0;0.0
102;250;3;670.8889;135.91878;1.6604471;-0.24125458;-0.0;0.0
102;250;40;681.03284;159.75485;1.708117;0.2798408;-0.0;0.0
102;250;50;672.25696;100.116684;1.473742;-0.7933622;0.0;-0.0
102;250;58;682.83453;118.35449;1.7179972;-0.56327015;0.0;-0.0
102;250;148;655.18475;92.28606;1.277533;-0.89264715;-0.0;-0.0
102;250;163;658.68665;124.77691;1.9363292;-0.43320173;0.0;0.0
102;250;178;668.1718;125.42186;1.8668667;-0.53044003;-0.0;-0.0
102;250;187;670.9276;148.38098;1.8669784;0.08701927;-0.0;0.0
102;250;197;657.9455;108.79487;1.6074692;-0.8082689;-0.0;-0.0
102;250;199;657.84644;112.71773;1.810382;-0.69606185;0.0;0.0
102;250;214;682.3363;137.12422;1.8815205;-0.25376123;0.0;0.0
102;250;219;665.1186;115.285736;1.9414557;-0.4273017;0.0;0.0
102;250;232;670.89124;161.83095;1.6125802;0.32720497;-0.0;0.0
102;250;240;665.8186;140.84148;1.9157567;0.004166764;-0.0;0.0
103;250;0;666.09186;129.60811;1.9520566;-0.26096904;0.0;0.0
103;250;3;672.29926;135.74638;1.4103289;-0.172401;-0.0;0.0
103;250;40;682.7313;160.04149;1.6984671;0.28664383;-0.0;0.0
103;250;50;673.73975;99.31743;1.4827676;-0.7992537;0.0;-0.0
103;250;58;684.56366;117.77834;1.7291137;-0.57615143;0.0;-0.0
103;250;105;657.68005;119.63646;1.8567156;-0.5728236;-0.0;-0.0
103;250;148;656.45496;91.39231;1.2701755;-0.89374524;-0.0;-0.0
103;250;163;660.6101;124.33627;1.9234651;-0.44063818;-0.0;-0.0
103;250;178;670.0429;124.88466;1.8710792;-0.53719974;0.0;-0.0
103;250;187;672.7903;148.47375;1.8626554;0.09276939;-0.0;0.0
103;250;194;663.7108;138.66385;1.971171;-0.18938299;-0.0;-0.0
103;250;197;659.5446;107.984116;1.5991389;-0.8107492;-0.0;-0.0
103;250;199;659.652;112.02112;1.8055725;-0.69661254;-0.0;-0.0
103;250;214;684.243;136.87605;1.9066635;-0.24816734;0.0;0.0
103;250;219;667.034;114.8544;1.9154252;-0.43133777;-0.0;-0.0
103;250;232;672.4981;162.16298;1.6068763;0.3320261;-0.0;0.0
103;250;240;667.7316;140.85194;1.9130533;0.010462977;-0.0;0.0
104;250;0;668.0477;129.3572;1.9558436;-0.25090954;0.0;0.0
104;250;3;673.7531;135.56488;1.4538283;-0.18150538;0.0;-0.0
104;250;40;684.1235;160.3746;1.3921779;0.33310843;-0.0;0.0
104;250;50;675.22925;98.51225;1.4895188;-0.80517554;0.0;-0.0
104;250;58;686.3013;117.18997;1.7375889;-0.58837146;0.0;-0.0
104;250;105;659.5416;119.062645;1.8615676;-0.573812;0.0;-0.0
104;250;148;657.7177;90.49757;1.2627296;-0.8947433;-0.0;-0.0
104;250;163;662.52527;123.88727;1.9151669;-0.44900322;-0.0;-0.0
104;250;178;671.9169;124.341095;1.8739738;-0.54356766;0.0;-0.0
104;250;187;674.6432;148.57431;1.8528885;0.10055438;-0.0;0.0
104;250;194;665.6816;138.44843;1.9707592;-0.21543117;-0.0;-0.0
104;250;197;661.13385;107.17102;1.5892136;-0.8130924;-0.0;-0.0
104;250;199;661.46265;111.32661;1.8106837;-0.6945083;0.0;0.0
104;250;214;686.17017;136.63042;1.927161;-0.24563615;0.0;0.0
104;250;219;668.9344;114.41488;1.9004096;-0.4395202;-0.0;-0.0
104;250;222;656.1317;107.23884;1.5676852;-0.8202171;-0.0;-0.0
104;250;232;674.099;162.4998;1.60088;0.33682054;-0.0;0.0
104;250;233;657.9037;114.88417;1.7643133;-0.7283014;0.0;0.0
104;250;239;667.942;152.27234;1.8229159;0.157994;-0.0;0.0
104;250;240;669.6394;140.87009;1.9077716;0.018146493;-0.0;0.0
105;250;0;669.99426;129.03952;1.9465407;-0.31767863;-0.0;-0.0
105;250;3;675.25024;135.37231;1.4971594;-0.1925588;0.0;-0.0
105;250;40;685.5337;160.70956;1.4102197;0.33496514;0.0;0.0
105;250;50;676.7236;97.70121;1.4942943;-0.8110415;0.0;-0.0
105;250;58;688.045;116.589966;1.7437112;-0.6000089;0.0;-0.0
105;250;95;660.01166;129.51523;1.9505855;-0.39414972;0.0;-0.0
105;250;105;661.4065;118.4876;1.864841;-0.5750403;0.0;-0.0
105;250;148;658.9709;89.60257;1.2531885;-0.8949984;-0.0;-0.0
105;250;163;664.1473;123.50213;1.622021;-0.38513607;-0.0;0.0
105;250;178;673.80084;123.79577;1.8839558;-0.5453239;0.0;-0.0
105;250;179;665.4833;147.63591;1.787608;0.17894913;-0.0;0.0
105;250;187;676.4908;148.68123;1.8475999;0.10691567;-0.0;0.0
105;250;194;667.6457;138.1814;1.9641198;-0.26702255;-0.0;-0.0
105;250;197;662.7139;106.35542;1.5800726;-0.8155978;-0.0;-0.0
105;250;199;663.27924;110.634735;1.8165832;-0.6918746;0.0;0.0
105;250;214;688.11237;136.38635;1.9421756;-0.24406803;0.0;0.0
105;250;219;670.82513;113.96558;1.8907746;-0.4492951;-0.0;-0.0
105;250;222;657.41254;106.51371;1.2808461;-0.72513014;-0.0;0.0
105;250;232;675.3988;162.87689;1.2997978;0.37709025;-0.0;0.0
105;250;233;659.701;114.21124;1.7973171;-0.67292655;0.0;0.0
105;250;239;669.4603;152.47717;1.5183123;0.20484126;-0.0;0.0
105;250;240;671.5397;140.89699;1.9002845;0.02690306;-0.0;0.0
106;250;0;671.9668;128.70926;1.9725432;-0.33026278;0.0;-0.0
106;250;3;676.7906;135.16794;1.5403697;-0.2043806;0.0;-0.0
106;250;40;686.95984;161.04716;1.4261638;0.3376042;0.0;0.0
106;250;50;678.2208;96.8844;1.4972597;-0.81680965;0.0;-0.0
106;250;58;689.7926;115.978775;1.747613;-0.61118764;0.0;-0.0
106;250;95;661.95135;129.11034;1.939706;-0.40489215;-0.0;-0.0
106;250;105;663.25757;117.908226;1.8510695;-0.57937694;-0.0;-0.0
106;250;148;660.2147;88.70732;1.2438157;-0.89524937;-0.0;-0.0
106;250;163;665.5231;123.18963;1.3758191;-0.31249774;-0.0;0.0
106;250;167;664.1987;141.7138;1.8559383;0.07347126;-0.0;0.0
106;250;170;662.5261;135.42488;1.9704428;-0.186605;-0.0;0.0
106;250;178;675.4144;123.39506;1.613608;-0.40071476;-0.0;0.0
106;250;179;667.2722;147.81787;1.7889537;0.18196855;0.0;0.0
106;250;187;678.34064;148.79074;1.84983;0.10951112;0.0;0.0
106;250;190;659.20435;123.54368;1.8185072;-0.627816;-0.0;-0.0
106;250;194;669.6078;137.8829;1.9621164;-0.29848853;-0.0;-0.0
106;250;197;664.2849;105.5373;1.5709962;-0.8181244;-0.0;-0.0
106;250;198;655.65607;110.40794;1.5742775;-0.8051216;0.0;-0.0
106;250;199;665.0817;109.94174;1.802474;-0.6929935;-0.0;-0.0
106;250;209;654.0895;103.37186;1.3716807;-0.84997326;-0.0;-0.0
106;250;214;689.77277;136.21;1.660394;-0.17635128;-0.0;0.0
106;250;219;672.7092;113.50648;1.8840724;-0.45910314;-0.0;-0.0
106;250;222;658.7193;105.784256;1.3067411;-0.72945434;0.0;-0.0
106;250;232;676.7181;163.25414;1.3192539;0.37723884;0.0;0.0
106;250;233;661.51776;113.548;1.8167709;-0.66324663;0.0;0.0
106;250;239;671.00415;152.6763;1.5438421;0.19913147;0.0;-0.0
106;250;240;673.13666;140.97882;1.5969871;0.081839874;-0.0;0.0
107;250;0;673.6074;128.39407;1.6406003;-0.31518948;-0.0;0.0
107;250;3;678.3741;134.95152;1.5835202;-0.21640813;0.0;-0.0
107;250;40;688.4001;161.38799;1.440262;0.34081927;0.0;0.0
107;250;50;679.7195;96.06197;1.498636;-0.8224224;0.0;-0.0
107;250;58;691.5376;115.35598;1.7450049;-0.62279356;-0.0;-0.0
107;250;95;663.9104;128.76318;1.9590274;-0.34714636;0.0;0.0
107;250;105;665.1135;117.32767;1.8559688;-0.5805586;0.0;-0.0
107;250;148;661.4474;87.81258;1.2326732;-0.89474297;-0.0;0.0
