Iteracion;nBoids;Boid;Location X;Location Y;Velocity X; Velocity Y;Acceleration X; Acceleration Y
96;50;42;656.7484;109.60259;1.674969;-0.7453437;-0.0;-0.0
97;50;42;658.41046;108.85476;1.6620681;-0.7478298;-0.0;-0.0
98;50;36;664.9108;143.80206;1.9223435;-0.094299085;-0.0;0.0
98;50;42;660.0609;108.10412;1.6504276;-0.7506397;-0.0;-0.0
99;50;36;666.8329;143.71307;1.9220668;-0.08898268;-0.0;0.0
99;50;42;661.70074;107.35042;1.6398109;-0.75370246;-0.0;-0.0
100;50;36;668.75476;143.62923;1.9218607;-0.0838485;-0.0;0.0
100;50;42;663.3308;106.59345;1.6300515;-0.7569674;-0.0;-0.0
100;50;47;658.6482;121.882576;1.7620372;-0.6696803;-0.0;-0.0
101;50;36;670.6765;143.55031;1.9217833;-0.078923546;-0.0;0.0
101;50;42;664.9518;105.83308;1.6209809;-0.76037925;-0.0;-0.0
101;50;47;660.3997;121.20709;1.751556;-0.6754825;-0.0;-0.0
102;50;36;672.5806;143.48335;1.9041344;-0.066955015;-0.0;0.0
102;50;42;666.5604;105.06971;1.6086664;-0.7633673;-0.0;-0.0
102;50;47;662.1512;120.52674;1.7514666;-0.6803543;-0.0;-0.0
103;50;2;659.2996;123.17871;1.8697239;-0.59912866;0.0;0.0
103;50;36;674.49677;143.41132;1.9161114;-0.07204068;0.0;-0.0
103;50;42;668.1575;104.303154;1.5970435;-0.7665573;-0.0;-0.0
103;50;47;663.8983;119.84103;1.7471112;-0.68571126;-0.0;-0.0
104;50;2;661.1757;122.65976;1.8760974;-0.5189494;0.0;0.0
104;50;36;676.4205;143.33804;1.9237028;-0.07327255;0.0;-0.0
104;50;42;669.7434;103.53329;1.5859447;-0.76986784;-0.0;-0.0
104;50;47;665.63745;119.14979;1.7391639;-0.69123924;-0.0;-0.0
105;50;2;663.0569;122.22097;1.8811798;-0.4387908;0.0;0.0
105;50;29;662.04834;135.00546;1.9575366;-0.20242453;0.0;-0.0
105;50;36;678.34125;143.27118;1.9207609;-0.06686748;-0.0;0.0
105;50;37;671.9713;164.0728;1.7224269;0.24454716;0.0;0.0
105;50;42;671.3187;102.76;1.5753064;-0.77328604;-0.0;-0.0
105;50;45;655.7012;108.665436;1.2627081;-0.8085165;-0.0;-0.0
105;50;47;667.36597;118.453;1.728519;-0.6967869;-0.0;-0.0
106;50;2;664.95184;121.85533;1.8949822;-0.36564255;0.0;0.0
106;50;29;664.0126;134.74654;1.9642414;-0.25892332;0.0;-0.0
106;50;36;680.249;143.12852;1.9077914;-0.14264837;-0.0;-0.0
106;50;37;673.3969;164.36021;1.4256221;0.28741696;-0.0;0.0
106;50;42;672.88385;101.98316;1.5651128;-0.77684003;-0.0;-0.0
106;50;45;656.9552;107.85469;1.2540051;-0.8107456;-0.0;-0.0
106;50;47;669.0846;117.75054;1.7186358;-0.70246387;-0.0;-0.0
107;50;2;666.5755;121.60887;1.6236602;-0.24645838;-0.0;0.0
107;50;29;665.97253;134.4976;1.9599336;-0.24893612;-0.0;0.0
107;50;31;652.31036;91.10221;1.1484383;-0.82588845;-0.0;0.0
107;50;36;682.1576;142.91591;1.9085414;-0.21261357;0.0;-0.0
107;50;37;674.8501;164.63786;1.4532033;0.2776438;0.0;-0.0
107;50;39;657.2667;119.177414;1.4868107;-0.7729533;-0.0;-0.0
107;50;42;674.4394;101.202644;1.5555472;-0.7805165;-0.0;-0.0
107;50;45;658.2007;107.04181;1.2454917;-0.81288195;-0.0;-0.0
107;50;47;670.79333;117.04235;1.7087219;-0.70819044;-0.0;-0.0
108;50;2;668.24316;121.37567;1.6676818;-0.23319975;0.0;0.0
108;50;29;667.6248;134.32584;1.6522894;-0.1717749;-0.0;0.0
108;50;31;653.4429;90.28325;1.1325152;-0.81896067;-0.0;0.0
108;50;36;684.0811;142.64426;1.9234957;-0.27165416;0.0;-0.0
108;50;37;676.32904;164.90695;1.4789591;0.26909396;0.0;-0.0
108;50;39;658.7434;118.40101;1.4766638;-0.77640426;-0.0;-0.0
108;50;42;675.9859;100.41836;1.5464923;-0.7842879;-0.0;-0.0
108;50;45;659.43787;106.226875;1.2371608;-0.8149364;-0.0;-0.0
108;50;47;672.5213;116.33783;1.7279716;-0.7045194;0.0;0.0
109;50;2;669.9539;121.152695;1.7107416;-0.22297373;0.0;0.0
109;50;29;669.3177;134.1428;1.692872;-0.1830338;0.0;-0.0
109;50;31;654.56006;89.470764;1.1172061;-0.8124869;-0.0;0.0
109;50;34;663.5455;140.65501;1.7499295;0.08719135;-0.0;0.0
109;50;36;686.03125;142.33377;1.9501618;-0.3104819;0.0;-0.0
109;50;37;677.8319;165.16862;1.5028656;0.2616711;0.0;-0.0
